id,title,artist,mood,tempo,genre,artist_type,chart_date,length_sec,top,year_of_birth
0,Small Town Throwdown,BRANTLEY GILBERT featuring JUSTIN MOORE & THOMAS RHETT,Brooding,Medium Tempo,Traditional,Male,20140628,191,0,1975
1,Bang Bang,"JESSIE J, ARIANA GRANDE & NICKI MINAJ",Energizing,Medium Tempo,Pop,Female,20140816,368,0,1989
2,Timber,PITBULL featuring KE$HA,Excited,Medium Tempo,Urban,Mixed,20140118,223,1,1993
3,Sweater Weather,THE NEIGHBOURHOOD,Brooding,Medium Tempo,Alternative & Punk,Male,20140104,206,0,1989
4,Automatic,MIRANDA LAMBERT,Yearning,Medium Tempo,Traditional,Female,20140301,232,0,0
5,Where Is At (Yep Yep),DUSTIN LYNCH,Upbeat,Medium Tempo,Traditional,Male,20140531,219,0,1990
6,Single Ladies (Put A Ring On It),BEYONCE,Cool,Slow Tempo,Urban,Female,20081213,43,1,1981
7,Me And My Broken Heart,RIXTON,Urgent,Fast Tempo,Pop,Male,20140412,557,0,1973
8,I Luh Ya Papi,JENNIFER LOPEZ featuring FRENCH MONTANA,Aggressive,Medium Tempo,Urban,Female,20140329,182,0,1969
9,Chocolate,THE 1975,Yearning,Medium Tempo,Alternative & Punk,Male,20140208,347,0,0
10,Fancy,IGGY AZALEA featuring CHARLI XCX,Energizing,Medium Tempo,Urban,Female,20140607,197,1,1974
11,Take Me To Church,HOZIER,Sophisticated,Medium Tempo,Alternative & Punk,Male,20140830,223,0,0
12,Confident,JUSTIN BIEBER featuring CHANCE THE RAPPER,Energizing,Fast Tempo,Pop,Male,20140215,258,0,1992
13,V. 3005,CHILDISH GAMBINO,Defiant,Medium Tempo,Urban,Male,20140628,302,0,0
14,Lifestyle,RICH GANG featuring YOUNG THUG & RICH HOMIE QUAN,Sensual,Medium Tempo,Urban,Female,20140802,182,0,1977
15,Teenage Dream,KATY PERRY,Excited,Medium Tempo,Pop,Female,20100918,235,1,1984
16,Hello Kitty,AVRIL LAVIGNE,Aggressive,Medium Tempo,Pop,Female,20140510,222,0,1984
17,Underneath The Tree,KELLY CLARKSON,Yearning,Medium Tempo,Pop,Female,20140104,199,0,1985
18,Know Yourself,DRAKE,Cool,Medium Tempo,Urban,Male,20150307,282,0,1986
19,Drink A Beer,LUKE BRYAN,Empowering,Medium Tempo,Traditional,Male,20140104,242,0,1976
20,Glory,COMMON & JOHN LEGEND,Sophisticated,Medium Tempo,Urban,Male,20150131,199,0,1985
21,Anaconda,NICKI MINAJ,Defiant,Medium Tempo,Urban,Female,20140823,364,0,1988
22,Don't Forget About Us,MARIAH CAREY,Sensual,Medium Tempo,Urban,Female,20051231,229,1,1970
23,One More Night,MAROON 5,Energizing,Medium Tempo,Pop,Male,20120929,314,1,1989
24,Bobby Bitch,BOBBY SHMURDA,Defiant,Medium Tempo,Urban,Male,20141101,315,0,1979
25,Elastic Heart,SIA,Excited,Medium Tempo,Alternative & Punk,Female,20150124,250,0,1985
26,Thriller,MICHAEL JACKSON,Energizing,Medium Tempo,Urban,Male,20141115,229,0,1958
27,Doin' What She Likes,BLAKE SHELTON,Empowering,Medium Tempo,Traditional,Male,20140201,195,0,0
28,That's My Kind Of Night,LUKE BRYAN,Gritty,Medium Tempo,Traditional,Male,20140104,285,0,1976
29,Slow Motion,JUVENILE featuring SOULJA SLIM,Cool,Medium Tempo,Urban,Male,20040807,235,1,1982
30,Velvet,CHRIS JAMISON,Cool,Slow Tempo,Pop,Male,20150103,239,0,1994
31,Take Your Time,SAM HUNT,Yearning,Medium Tempo,Traditional,Male,20150117,197,0,1984
32,No Mediocre,T.I. featuring IGGY AZALEA,Defiant,Medium Tempo,Urban,Mixed,20140705,197,0,1988
33,Something In The Water,CARRIE UNDERWOOD,Romantic,Medium Tempo,Traditional,Female,20141018,184,0,0
34,Fireball,PITBULL featuring JOHN RYAN,Excited,Medium Tempo,Urban,Male,20140823,289,0,1981
35,Blessings,BIG SEAN featuring DRAKE,Defiant,Medium Tempo,Urban,Male,20150221,250,0,1986
36,Work,IGGY AZALEA,Energizing,Fast Tempo,Pop,Female,20140517,258,0,0
37,Post To Be,OMARION featuring CHRIS BROWN & JHENE AIKO,Cool,Slow Tempo,Urban,Mixed,20150124,143,0,0
38,Take Me Home,CASH CASH featuring BEBE REXHA,Romantic,Medium Tempo,Traditional,Male,20140201,271,0,0
39,Tuesday,I LOVE MAKONNEN featuring DRAKE,Brooding,Medium Tempo,Alternative & Punk,Male,20141011,234,0,1988
40,Bad Day,DANIEL POWTER,Empowering,Medium Tempo,Pop,Male,20060408,252,1,1971
41,Roar,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20130914,277,1,1986
42,Somebody,NATALIE LA ROSE featuring JEREMIH,Sensual,Medium Tempo,Pop,Mixed,20150207,243,0,1987
43,West Coast,LANA DEL REY,Yearning,Medium Tempo,Electronica,Female,20140503,216,0,1981
44,Nothin' On You,B.O.B featuring BRUNO MARS,Rowdy,Medium Tempo,Urban,Male,20100501,131,1,1985
45,Baby Don't Lie,GWEN STEFANI,Cool,Medium Tempo,Pop,Female,20141108,1619,0,1969
46,Gonna Know We Were Here,JASON ALDEAN,Yearning,Medium Tempo,Traditional,Male,20141004,233,0,1977
47,Harlem Shake,BAAUER,Energizing,Fast Tempo,Electronica,Male,20130302,169,1,1988
48,Main Chick,KID INK featuring CHRIS BROWN,Defiant,Medium Tempo,Urban,Male,20140531,203,0,1988
49,We Belong Together,MARIAH CAREY,Sensual,Medium Tempo,Urban,Female,20050604,17,1,1987
50,No Flex Zone!!,RAE SREMMURD,Defiant,Medium Tempo,Urban,Male,20140816,271,0,1995
51,Break Your Heart,TAIO CRUZ featuring LUDACRIS,Excited,Medium Tempo,Urban,Male,20100320,233,1,1985
52,The Big Bang,KATY TIZ,Urgent,Medium Tempo,Other,Mixed,20140517,314,0,0
53,Keep Your Money,EMPIRE CAST featuring JUSSIE SMOLLETT,Defiant,Medium Tempo,Soundtrack,Mixed,20150228,244,0,1974
54,Hot Boy,BOBBY SHMURDA,Excited,Fast Tempo,Pop,Mixed,20140816,263,0,0
55,Gas Pedal,SAGE THE GEMINI featuring IAMSU,Other,Slow Tempo,Urban,Male,20140104,243,0,1974
56,Roar,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20140104,220,0,1984
57,Budapest,GEORGE EZRA,Fiery,Medium Tempo,Alternative & Punk,Male,20150214,216,0,0
58,We Might Be Dead By Tomorrow,SOKO,Sentimental,Slow Tempo,Alternative & Punk,Female,20140329,205,0,1988
59,Only,"NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",Cool,Medium Tempo,Urban,Mixed,20141115,185,0,1985
60,All Of Me,JOHN LEGEND,Sophisticated,Slow Tempo,Urban,Male,20140517,308,1,1978
61,I Bet,CIARA,Sensual,Medium Tempo,Urban,Female,20150214,197,0,1987
62,Meanwhile Back At Mama's,TIM McGRAW featuring FAITH HILL,Yearning,Medium Tempo,Traditional,Mixed,20140614,259,0,0
63,This Is How We Roll,FLORIDA GEORGIA LINE featuring LUKE BRYAN,Empowering,Medium Tempo,Traditional,Male,20140301,367,0,1987
64,Stolen Dance,MILKY CHANCE,Cool,Medium Tempo,Alternative & Punk,Male,20140809,208,0,0
65,Earned It (Fifty Shades Of Grey),THE WEEKND,Sophisticated,Medium Tempo,Urban,Male,20150110,261,0,1981
66,Heartbeat Song,KELLY CLARKSON,Sophisticated,Medium Tempo,Pop,Female,20150131,204,0,0
67,Touch My Body,MARIAH CAREY,Sensual,Slow Tempo,Urban,Female,20080412,260,1,1970
68,Let Me Love You,MARIO WINANS,Sensual,Medium Tempo,Urban,Male,20050101,308,1,1974
69,Invisible,HUNTER HAYES,Empowering,Slow Tempo,Traditional,Male,20140208,223,0,1986
70,Sweet Little Somethin',JASON ALDEAN,Brooding,Medium Tempo,Traditional,Male,20140920,262,0,1979
71,Night Changes,ONE DIRECTION,Empowering,Medium Tempo,Pop,Male,20141206,213,0,1994
72,Style,TAYLOR SWIFT,Yearning,Medium Tempo,Pop,Female,20141115,0,0,1982
73,I Have Nothing,TESSANNE CHIN,Sentimental,Slow Tempo,Alternative & Punk,Mixed,20140104,4496,0,1986
74,Chandelier,SIA,Excited,Medium Tempo,Alternative & Punk,Female,20140524,119,0,1981
75,Empire State Of Mind,JAY-Z & ALICIA KEYS,Energizing,Medium Tempo,Urban,Mixed,20091128,110,1,1981
